Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1842.121196
FDW14,OUT017,1571.383008
NCN55,OUT010,1874.272539
FDQ58,OUT017,2588.340055
FDY38,OUT027,5144.559776
FDH56,OUT046,1925.981128
FDL48,OUT018,597.1320266
FDC48,OUT027,2781.344843
FDN33,OUT045,1515.220521
FDA36,OUT017,3086.628463
FDT44,OUT017,1994.810365
FDQ56,OUT045,1315.914676
NCC54,OUT019,1857.938308
FDU11,OUT049,2059.426543
DRL59,OUT013,890.2319227
FDM24,OUT049,2559.020168
FDI57,OUT045,3082.911425
DRC12,OUT018,2759.438517
NCM42,OUT027,3195.92315
FDA46,OUT010,1136.735918
FDA31,OUT013,2808.105694
NCJ31,OUT035,3881.358715
FDG52,OUT046,802.7675303
NCL19,OUT019,360.5882661
FDS10,OUT035,3018.053313
FDX22,OUT010,1418.10481
NCF19,OUT035,922.311843
NCE06,OUT046,2541.13653
DRC27,OUT046,3850.523979
FDE21,OUT035,2025.759659
NCR42,OUT019,-1362.47898
FDX51,OUT018,2827.165792
NCR06,OUT018,426.4800003
FDU31,OUT027,4947.525636
FDU59,OUT017,2716.617574
FDR03,OUT027,4713.029255
FDS49,OUT027,2758.086455
FDD48,OUT010,-72.31749098
NCF18,OUT017,3116.293538
NCD43,OUT027,3100.41127
NCD54,OUT018,1987.735549
FDY19,OUT010,-40.58718175
NCY54,OUT017,2821.261409
NCL19,OUT018,2016.579375
FDP23,OUT010,1533.449206
FDC26,OUT013,1825.830292
FDR14,OUT010,-1025.008364
NCS41,OUT035,3029.124016
FDF41,OUT035,4051.98401
FDU34,OUT046,1997.896731
DRH11,OUT046,933.6839365
FDM03,OUT013,1739.575399
FDS31,OUT017,3025.209182
FDJ20,OUT017,2096.620135
FDV44,OUT027,4452.127881
FDG02,OUT049,3108.321815
FDA09,OUT013,2872.268729
FDT04,OUT013,677.3526574
FDL58,OUT019,2291.265746
FDE52,OUT045,1444.242853
FDW12,OUT035,2507.611742
FDL51,OUT017,3548.339638
NCY42,OUT027,3690.953023
FDR07,OUT017,1661.994061
FDN40,OUT045,2367.193121
FDB35,OUT027,2958.333282
FDA22,OUT017,2742.291885
NCL06,OUT046,4113.639931
FDI35,OUT013,2914.912194
NCW42,OUT045,3410.366749
NCX06,OUT049,2937.690957
FDC37,OUT027,3200.124247
FDZ14,OUT018,1735.094081
DRG49,OUT049,3958.483209
NCG06,OUT045,3955.725625
DRC36,OUT045,2722.917982
FDV21,OUT019,63.48499748
FDB53,OUT046,2357.324319
DRP47,OUT019,2041.875985
FDA14,OUT013,2347.590859
DRC24,OUT035,2568.191455
FDW21,OUT018,1406.523634
NCH29,OUT046,1556.686157
FDU58,OUT013,3037.873647
FDY27,OUT017,2937.17817
FDV56,OUT035,1949.151274
FDT59,OUT046,3655.989629
FDB23,OUT046,3617.599667
FDR49,OUT045,698.9524182
FDB03,OUT010,1918.03623
FDN39,OUT045,2617.117112
FDX02,OUT027,4983.533129
FDQ16,OUT027,3192.122792
FDU35,OUT018,1331.704874
NCT29,OUT013,1963.820247
FDZ27,OUT046,821.1099179
FDN57,OUT017,2346.817149
FDA03,OUT018,2090.650128
FDZ36,OUT045,2885.6151
